nct_id,overall_count,female,male,<=18years,18-65years,>=65years,mean_age,age_number_analyzed
NCT00003816,722,278.0,444.0,,,,40.666666666666664,47.333333333333336
NCT00003820,39,12.0,27.0,1.0,37.0,1.0,42.0,21.0
NCT00003830,11222,11222.0,0.0,,,,56.0,22.333333333333332
NCT00003838,404,178.0,226.0,52.0,346.0,6.0,,
NCT00003869,372,158.0,214.0,,,,,
NCT00003875,29,13.0,16.0,0.0,28.0,1.0,52.0,21.0
NCT00003895,72,32.0,40.0,0.0,56.0,16.0,,
NCT00003896,63,63.0,0.0,,,,59.0,21.0
NCT00003901,1047,509.0,538.0,,,,67.2,21.0
NCT00003907,92,38.0,54.0,,,,62.0,22.333333333333332
NCT00003910,55,25.0,30.0,0.0,20.0,35.0,65.4,21.0
NCT00004031,506,210.0,296.0,,,,50.5,22.333333333333332
NCT00004054,794,0.0,794.0,,,,66.0,22.333333333333332
NCT00004088,77,27.0,50.0,0.0,75.0,2.0,54.0,21.0
NCT00004092,144,144.0,0.0,,,,47.666666666666664,22.333333333333332
NCT00004124,1922,0.0,1922.0,,,,60.0,22.333333333333332
NCT00004143,2,0.0,2.0,0.0,2.0,0.0,,
NCT00004146,55,22.0,33.0,,,,,
NCT00004228,786,216.0,570.0,746.0,40.0,0.0,10.4,37.0
NCT00004259,450,200.0,250.0,,,,43.4,55.0
NCT00004412,46,22.0,24.0,0.0,46.0,0.0,31.75,33.5
NCT00004418,126,0.0,126.0,126.0,0.0,0.0,3.25,21.0
NCT00004445,15,1.0,14.0,0.0,15.0,0.0,33.7,21.0
NCT00004500,138,62.0,76.0,138.0,0.0,0.0,,
NCT00004547,376,178.0,198.0,6.0,332.0,38.0,50.035,33.5
NCT00004562,4402,968.0,3434.0,,,,58.666666666666664,22.333333333333332
NCT00004563,316,222.0,94.0,,,,47.86666666666667,22.333333333333332
NCT00004635,318,0.0,318.0,0.0,138.0,180.0,66.90666666666665,22.333333333333332
NCT00004732,5004,1744.0,3260.0,,,,69.03333333333335,22.333333333333332
NCT00004859,1092,424.0,668.0,,,,62.56666666666666,22.333333333333332
NCT00004888,168,,,,,,53.0,22.333333333333332
NCT00004978,8300,1538.0,6762.0,0.0,8206.0,94.0,40.833333333333336,22.333333333333332
NCT00004980,100,34.0,66.0,,,,35.300000000000004,22.333333333333332
NCT00005044,2978,0.0,2978.0,,,,71.0,22.333333333333332
NCT00005047,998,198.0,800.0,0.0,572.0,426.0,,
NCT00005669,200,120.0,80.0,200.0,0.0,0.0,10.233333333333333,22.333333333333332
NCT00005780,26,7.0,19.0,0.0,21.0,5.0,57.0,21.0
NCT00005803,76,30.0,46.0,0.0,75.0,1.0,,
NCT00005879,398,398.0,0.0,,,,46.6,230.33333333333334
NCT00005901,68,34.0,34.0,68.0,0.0,0.0,,
NCT00005906,4,4.0,0.0,0.0,4.0,0.0,43.0,21.0
NCT00005908,30,30.0,0.0,0.0,29.0,1.0,50.0,21.0
NCT00005937,42,11.0,31.0,0.0,33.0,9.0,54.0,21.0
NCT00005947,254,0.0,254.0,,,,71.63333333333333,22.333333333333332
NCT00005957,3664,3664.0,0.0,,,,54.0,22.333333333333332
NCT00006011,1232,1232.0,0.0,,,,60.199999999999996,33.5
NCT00006046,14,8.0,6.0,0.0,12.0,2.0,,
NCT00006099,2,2.0,0.0,0.0,2.0,0.0,,
NCT00006101,152,0.0,152.0,0.0,134.0,18.0,,
NCT00006110,164,164.0,0.0,,,,48.0,22.333333333333332
NCT00006151,120,74.0,46.0,0.0,120.0,0.0,45.28666666666667,22.333333333333332
NCT00006156,98,98.0,0.0,0.0,96.0,2.0,,
NCT00006164,2100,610.0,1490.0,0.0,2000.0,100.0,50.6,22.333333333333332
NCT00006170,698,698.0,0.0,0.0,698.0,0.0,42.0,278.0
NCT00006178,12,4.0,8.0,0.0,12.0,0.0,45.0,21.0
NCT00006184,40,18.0,22.0,0.0,40.0,0.0,52.0,21.5
NCT00006227,31,31.0,0.0,,,,,
NCT00006237,804,240.0,564.0,,,,46.666666666666664,22.333333333333332
NCT00006244,36,14.0,22.0,0.0,32.0,4.0,53.56,21.0
NCT00006289,42,30.0,12.0,4.0,36.0,2.0,41.833333333333336,22.333333333333332
NCT00006305,4736,1404.0,3332.0,0.0,2878.0,1858.0,62.4,55.0
