Category,Total_success,Total_failure,Median_success,IQR_success,Median_failure,IQR_failure,U_stat,p_value,Effect_size_r
unknown,2993,274,1461.0,1550.0,863.0,1073.25,5.37e+05,1.9e-17,0.149
single_group,52432,12596,792.0,1120.0,767.0,918.0,3.34e+08,0.03,0.008
factorial,3468,362,791.0,1096.0,670.0,915.25,6.88e+05,0.0026,0.049
parallel,133610,20706,651.0,877.0,730.0,852.0,1.33e+09,4.1e-22,0.025
None,4972,819,641.0,913.25,681.0,823.0,2.03e+06,0.81,0.003
sequential,4460,1349,545.0,837.25,737.0,803.0,2.61e+06,1.2e-13,0.097
crossover,23112,1983,273.0,579.0,516.0,801.0,1.70e+07,3.5e-81,0.12
