Category,Total_success,Total_failure,Median_success,IQR_success,Median_failure,IQR_failure,U_stat,p_value,Effect_size_r
randomized,149502,21155,77.0,154.0,12.0,55.0,2.49e+09,0,0.33
None,4972,819,60.0,119.0,8.0,35.0,3.33e+06,1.1e-188,0.385
unknown,3329,450,40.0,38.0,12.0,33.0,1.12e+06,2.5e-64,0.275
non_randomized,67244,15665,35.0,57.0,6.0,20.0,8.55e+08,0,0.423
